Nome da música,viewCount,likeCount,commentCount,link,Ano,Autoria
É Manhã (Vem),993694,15926,460,https://www.youtube.com/watch?v=5rN4nYoVsXI,2020.0,"Akira Presidente, Don L, Dr. Drumah, Joluz, Marcelo D2, Sérgio Malta (letra), Don L, Marcelo D2, Luiza Machado (música)"
Mucuripe,615628,6276,257,https://www.youtube.com/watch?v=Qs96sm4gV7E,1970.0,Fagner e Belchior
Terral,270527,2248,116,https://www.youtube.com/watch?v=iHkGHEPUt14,1972.0,Ednardo
Artigo 26,250391,2035,150,https://www.youtube.com/watch?v=fyhbVzqaNQY,1976.0,Ednardo
Longarinas,177373,1759,124,https://www.youtube.com/watch?v=FMmL5rb4VsE,1976.0,Ednardo
Amigos Libertinos,104058,1008,25,https://www.youtube.com/watch?v=wqSuMuKDrLE,2011.0,Gabriel Aragão
Mucambo Cafundó,84897,1053,27,https://www.youtube.com/watch?v=CFo8i2hY2uk,2011.0,Gabriel Aragão e Rafael Martins
Massarrara,26767,632,35,https://www.youtube.com/watch?v=AjYG52CkO2Q,2013.0,Gabriel Aragão
Sobre Meninos Elétricos e Mães Solteiras,26767,632,35,https://www.youtube.com/watch?v=AjYG52CkO2Q,2011.0,Gabriel Aragão
Esperando pelo 051,16655,421,32,http://www.youtube.com/watch?v=c8-z-iFiMmk,2011.0,Gabriel Aragão
